"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"13:24:48.703","13","1:29.658","133,708","","","0,0","21.222","0,0","37.316","",""
"13:26:15.986","14","1:27.283","137,346","0,0","26.275","0,0","20.692","0,0","40.316","202,2","0.568"
"13:27:37.725","15","1:21.739","146,662","0,0","25.351","0,0","20.160","0,0","36.228","209,2","0.549"
301 - RAFAEL REIS - Stock Car Pro
"13:37:02.543","1","1:36.536","124,182","","","0,0","23.031","0,0","39.947","",""
"13:38:28.298","2","1:25.755","139,794","0,0","26.089","0,0","21.646","0,0","38.020","203,3","0.565"
"13:39:52.984","3","1:24.686","141,558","0,0","26.846","0,0","20.770","0,0","37.070","205,4","0.559"
"13:41:16.708","4","1:23.724","143,185","0,0","26.055","0,0","20.682","0,0","36.987","205,4","0.559"
"13:42:40.082","5","1:23.374","143,786","0,0","25.725","0,0","20.650","0,0","36.999","206,2","0.557"
"13:45:15.674","6","2:35.592","77,048","0,0","25.906","0,0","20.753","","","205,4","0.559"
"13:46:46.199","7","1:30.525","132,428","","","0,0","22.189","0,0","37.367","",""
"13:48:09.496","8","1:23.297","143,919","0,0","25.865","0,0","20.583","0,0","36.849","204,0","0.563"
"13:49:32.474","9","1:22.978","144,472","0,0","25.752","0,0","20.490","0,0","36.736","205,4","0.559"
"13:50:55.121","10","1:22.647","145,051","0,0","25.620","0,0","20.457","0,0","36.570","205,4","0.559"
"13:53:38.343","11","2:43.222","73,446","0,0","25.645","0,0","20.411","","","205,8","0.558"
"13:55:05.627","12","1:27.284","137,345","","","0,0","20.503","0,0","38.113","",""
"13:57:40.112","13","2:34.485","77,600","0,0","25.624","0,0","20.352","","","205,8","0.558"
"13:59:10.226","14","1:30.114","133,031","","","0,0","21.219","0,0","37.248","",""
"14:00:32.179","15","1:21.953","146,279","0,0","25.409","0,0","20.290","0,0","36.254","206,9","0.555"
