"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
73 - ENZO ELIAS - Stock Car Pro
"10:53:01.293","17","17","1:22.639","145,065","0,0","25.589","0,0","20.504","0,0","36.546","208,8","0.550"
"10:54:23.851","18","18","1:22.558","145,207","0,0","25.570","0,0","20.506","0,0","36.482","209,6","0.548"
"10:55:46.632","19","19","1:22.781","144,816","0,0","25.625","0,0","20.616","0,0","36.540","209,9","0.547"
"10:57:09.322","20","20","1:22.690","144,975","0,0","25.516","0,0","20.557","0,0","36.617","209,9","0.547"
"10:58:32.194","21","21","1:22.872","144,657","0,0","25.520","0,0","20.600","0,0","36.752","209,9","0.547"
"10:59:55.175","22","22","1:22.981","144,467","0,0","25.645","0,0","20.629","0,0","36.707","209,9","0.547"
"11:01:18.310","23","23","1:23.135","144,199","0,0","25.734","0,0","20.629","0,0","36.772","209,6","0.548"
29 - DANIEL SERRA - Stock Car Pro
"10:30:21.404","1","1","1:30.641","132,258","0,0","31.388","0,0","21.992","0,0","37.261","143,7","0.799"
"10:31:45.392","2","2","1:23.988","142,735","0,0","26.503","0,0","20.864","0,0","36.621","210,3","0.546"
"10:33:08.267","3","3","1:22.875","144,652","0,0","25.792","0,0","20.558","0,0","36.525","210,3","0.546"
"10:34:31.072","4","4","1:22.805","144,774","0,0","25.724","0,0","20.527","0,0","36.554","210,7","0.545"
"10:35:53.675","5","5","1:22.603","145,128","0,0","25.472","0,0","20.604","0,0","36.527","211,1","0.544"
"10:37:16.353","6","6","1:22.678","144,996","0,0","25.552","0,0","20.641","0,0","36.485","211,1","0.544"
"10:39:10.175","7","7","1:53.822","105,322","0,0","25.598","0,0","20.670","","","210,7","0.545"
"10:40:37.062","8","8","1:26.887","137,972","","","0,0","20.421","0,0","37.404","",""
"10:41:59.286","9","9","1:22.224","145,797","0,0","25.558","0,0","20.270","0,0","36.396","208,4","0.551"
